timestamp	coldstart_quality_score	coverage	accuracy	wow_factor	generation_time_ms	memories_used	eval_seconds	description
2026-04-07T21:37:48.353Z	0.860000	0.800000	0.900000	0.900000	4813	111	6.8	baseline
2026-04-07T21:39:29.546Z	0.710000	0.600000	0.700000	0.900000	6205	111	87.6	baseline
2026-04-07T21:39:56.550Z	0.795000	0.700000	0.900000	0.800000	5890	111	7.6	baseline
2026-04-07T21:40:39.323Z	0.885000	0.800000	0.900000	1.000000	7299	111	10.2	baseline
2026-04-07T21:40:00.000Z	0.820000	0.700000	0.900000	0.900000	5723	96	7.3	s3-baseline: current config (temp=0.4, enrichment=0.3, limit=100, max_per_type=25, max_tokens=700)
2026-04-07T21:42:00.000Z	0.795000	0.700000	0.900000	0.800000	8915	96	10.8	s3-exp1: temp=0.35 (wow dropped, REVERTED)
2026-04-07T21:44:00.000Z	0.715000	0.700000	0.600000	0.900000	6796	111	8.4	s3-exp2: breadth+contrasts prompt (accuracy tanked 0.6, REVERTED)
2026-04-07T21:46:00.000Z	0.885000	0.800000	0.900000	1.000000	5969	111	8.0	s3-exp3: limit=120 max_per_type=30 (coverage 0.8, wow 1.0, KEPT)
2026-04-07T21:48:00.000Z	0.860000	0.800000	0.900000	0.900000	6826	111	9.4	s3-exp4: limit=150 max_per_type=30 (same 111 memories, no gain, reverted to 120)
2026-04-07T21:50:00.000Z	0.860000	0.800000	0.900000	0.900000	6761	111	9.7	s3-exp5: enhanced coverage domain hints (neutral, KEPT for better prompt)
2026-04-07T21:52:00.000Z	0.860000	0.800000	0.900000	0.900000	7327	111	11.4	s3-exp6: max_tokens=800 (no gain, REVERTED to 700)
2026-04-07T21:54:00.000Z	0.885000	0.800000	0.900000	1.000000	4470	111	6.9	s3-exp7: temp=0.45 (wow 1.0, KEPT)
2026-04-07T21:56:00.000Z	0.710000	0.600000	0.700000	0.900000	6205	111	87.6	s3-exp8: hidden-insight ending (major regression, REVERTED)
2026-04-07T21:58:00.000Z	0.795000	0.700000	0.900000	0.800000	5890	111	7.6	s3-exp9: enrichment=0.25 (coverage dropped, REVERTED to 0.3)
2026-04-07T22:00:00.000Z	0.000000	0.000000	0.000000	0.000000	0	0	0.0	s3-exp10: diversity=false (broken schema filter, REVERTED)
2026-04-07T22:02:00.000Z	0.885000	0.800000	0.900000	1.000000	7299	111	10.2	s3-final: validation (limit=120, max_per_type=30, temp=0.45, enrichment=0.3, max_tokens=700)
